Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","CMT-8504-100-SMT (magnetic transducer 8.5mm, 15R coil, 4kHz; pads 3/4 are mechanical dummies)","MagneticBuzzer_CUI_CMT-8504-100-SMT",76.000000,-62.000000,0.000000,top
"C1","10uF/25V","C_1210_3225Metric",32.000000,-54.000000,0.000000,top
"C2","100nF","C_0805_2012Metric",37.000000,-54.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",63.500000,-48.500000,0.000000,top
"C4","10uF/25V","C_1210_3225Metric",55.000000,-49.000000,0.000000,top
"C5","22uF","C_0805_2012Metric",71.000000,-54.000000,0.000000,top
"C6","100nF","C_0805_2012Metric",24.000000,-63.000000,0.000000,top
"C8","100nF","C_0805_2012Metric",47.600000,-89.000000,90.000000,top
"C9","1uF","C_0805_2012Metric",40.000000,-60.000000,0.000000,top
"C10","10uF","C_0805_2012Metric",51.700000,-89.000000,0.000000,top
"C11","10uF/25V","C_1210_3225Metric",44.000000,-65.000000,0.000000,top
"C12","100nF","C_0805_2012Metric",28.000000,-44.000000,0.000000,top
"C14","100nF","C_0805_2012Metric",60.000000,-60.000000,0.000000,top
"C30","220uF/16V","CP_Elec_6.3x7.7",12.500000,-57.500000,0.000000,top
"C31","100nF","C_0805_2012Metric",44.000000,-20.000000,0.000000,top
"C32","100nF","C_0805_2012Metric",44.000000,-56.000000,0.000000,top
"C33","100nF","C_0805_2012Metric",44.000000,-59.500000,0.000000,top
"D1","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",21.430000,-16.270000,90.000000,top
"D2","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",78.570000,-16.270000,90.000000,top
"D3","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",16.972000,-28.668000,45.000000,top
"D4","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",81.232000,-26.872000,-45.000000,top
"D5","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",15.000000,-45.470000,90.000000,top
"D6","IR333-A (Everlight 5mm 940nm 20deg; LD271 base symbol; TSAL6400 is lifecycle-Obsolete at Lion)","LED_D5.0mm_IRGrey",85.000000,-42.930000,-90.000000,top
"D29","1N4148W (flyback clamp across the buzzer coil)","D_SOD-123",84.000000,-70.000000,90.000000,top
"D30","Power LED 0603 red (JLC good-stock)","LED_0603_1608Metric",26.000000,-110.000000,0.000000,top
"D31","Status LED 0603 red (JLC good-stock)","LED_0603_1608Metric",38.000000,-110.000000,0.000000,top
"D32","WS2812B addressable RGB 5050 (JLC good-stock)","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",50.000000,-20.000000,0.000000,top
"D33","Motor-power LED 0603 (VM_MOTOR present; JLC good-stock)","LED_0603_1608Metric",32.000000,-110.000000,0.000000,top
"F1","2.6A/16V PPTC","Fuse_1812_4532Metric",95.500000,-64.500000,0.000000,top
"J1","BATT_IN_2S","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",89.000000,-114.000000,0.000000,top
"J5","MOTOR_A_N20_ENCODER","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",33.000000,-69.100000,0.000000,top
"J6","MOTOR_B_N20_ENCODER","JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical",67.000000,-70.000000,180.000000,top
"J7","USB-C rear (GCT USB4105; VBUS unused -- battery powers the board)","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",70.000000,-115.675000,0.000000,top
"J10","BATT_IN_XT60 (parallel option -- ONE PACK ONLY)","AMASS_XT60-M_1x02_P7.20mm_Vertical",85.680000,-104.800000,0.000000,top
"L1","4.7uH","L_Bourns_SRP4020TA",66.000000,-53.500000,0.000000,top
