Designator,X Data,Y Data,Layer,Rotation
U1,58.5mm,54mm,Top,0
U2,50mm,63.5mm,Top,0
R15,70mm,23mm,Top,0
R64,44mm,42mm,Top,0
R63,59mm,29.5mm,Top,180
R69,68mm,45mm,Top,0
SW6,6mm,116.4mm,Top,0
J1,86.93mm,104.8mm,Top,0
Q6,15mm,36.6mm,Top,90
C10,67mm,103mm,Top,180
R74,72mm,35.5mm,Top,180
Q1,87.5mm,56mm,Top,0
R55,44mm,54mm,Top,0
J6,63.25mm,70mm,Top,180
C2,37mm,54mm,Top,0
R73,68mm,41mm,Top,0
D1,21.43mm,15mm,Top,90
C3,62mm,48.5mm,Top,0
D33,32mm,107mm,Top,0
R16,76mm,23mm,Top,0
Q7,85mm,36.6mm,Top,270
C18,69mm,48.5mm,Top,0
C17,50mm,44mm,Top,0
J5,36.75mm,69.1mm,Top,0
R71,62mm,41mm,Top,0
R62,44mm,37.5mm,Top,0
D4,82.13mm,27.77mm,Top,315
R85,76mm,45mm,Top,0
R23,78mm,37mm,Top,0
C12,28mm,44mm,Top,0
L1,66mm,53.5mm,Top,0
R21,22mm,39mm,Top,0
R17,26mm,30mm,Top,0
C8,67mm,109mm,Top,180
R18,32mm,30mm,Top,0
L2,87mm,51mm,Top,90
BZ1,76mm,62mm,Top,0
Q4,12.5mm,22.4mm,Top,45
R14,26.5mm,22mm,Top,180
C4,51mm,54mm,Top,0
D3,17.87mm,27.77mm,Top,45
Q34,84.95mm,61.5mm,Top,90
D2,78.57mm,15mm,Top,90
Q5,87.5mm,22.4mm,Top,315
D29,68mm,61.5mm,Top,270
R9,44mm,47mm,Top,0
Q18,31.5mm,37.5mm,Top,90
R19,74mm,30mm,Top,0
R13,32mm,24.5mm,Top,0
Q2,30.95mm,15mm,Top,90
C1,23mm,60.5mm,Top,0
R70,56mm,41mm,Top,0
C11,38mm,59mm,Top,0
R82,26mm,102mm,Top,0
U3,50mm,109.5225mm,Top,270
R24,76mm,41mm,Top,0
Q3,69.05mm,15mm,Top,90
R8,36.5mm,47mm,Top,0
R84,32mm,102mm,Top,0
R81,88mm,65mm,Top,0
F1,93mm,61.5mm,Top,90
C16,80.5mm,49.5mm,Top,0
Q17,50mm,37.5mm,Top,0
C14,60mm,60mm,Top,0
D5,15mm,44.2mm,Top,90
R1,94.5mm,55.5mm,Top,0
R20,67mm,30mm,Top,0
SW7,15.5mm,116.4mm,Top,0
C15,75.5mm,48.5mm,Top,0
D6,85mm,44.2mm,Top,270
C5,72.5mm,54mm,Top,0
R7,28mm,50mm,Top,0
SW5,73mm,116.4mm,Top,0
R22,22mm,44mm,Top,0
U7,81mm,54mm,Top,0
C30,12.5mm,57.5mm,Top,0
SW2,32mm,113mm,Top,0
R10,19.5mm,107mm,Top,270
D30,26mm,107mm,Top,0
J10,86.6mm,114mm,Top,0
Q16,37mm,37.5mm,Top,90
SW1,26mm,113mm,Top,0
R6,21mm,50mm,Top,0
